+-----------+--------------------------------------+---------+---------------------+---------------------+---------------+
| rental_id | asp_net_user_id                      | tool_id | start_date          | due_date            | rental_status |
+-----------+--------------------------------------+---------+---------------------+---------------------+---------------+
|         1 | 07b56ff8-86a2-453e-963d-cda10d505df2 |       1 | 2020-04-15 00:33:33 | 2020-02-01 00:00:00 | returned      |
|         2 | 07b56ff8-86a2-453e-963d-cda10d505df2 |       1 | 2020-04-15 00:33:33 | 2020-04-15 00:33:33 | returned      |
|         3 | 07b56ff8-86a2-453e-963d-cda10d505df2 |       3 | 2020-04-15 00:33:33 | 2020-04-15 00:33:33 | returned      |
|         4 | 07b56ff8-86a2-453e-963d-cda10d505df2 |       4 | 2020-04-15 00:33:33 | 2020-04-15 00:33:33 | returned      |
|         5 | 07b56ff8-86a2-453e-963d-cda10d505df2 |       4 | 2020-04-15 00:33:33 | 2020-04-15 00:33:33 | returned      |
|         6 | 07b56ff8-86a2-453e-963d-cda10d505df2 |       6 | 2020-04-15 00:33:33 | 2020-04-15 00:33:33 | returned      |
|         7 | 07b56ff8-86a2-453e-963d-cda10d505df2 |       7 | 2020-04-15 00:33:33 | 2020-04-15 00:33:33 | returned      |
|         8 | 07b56ff8-86a2-453e-963d-cda10d505df2 |       8 | 2020-04-15 00:33:33 | 2020-04-15 00:33:33 | returned      |
|         9 | 07b56ff8-86a2-453e-963d-cda10d505df2 |       9 | 2020-04-15 00:33:33 | 2020-04-15 00:33:33 | returned      |
|        10 | 07b56ff8-86a2-453e-963d-cda10d505df2 |      10 | 2020-04-15 00:33:33 | 2020-04-15 00:33:33 | returned      |
|        11 | 07b56ff8-86a2-453e-963d-cda10d505df2 |      11 | 2020-04-15 00:33:33 | 2020-04-15 00:33:33 | returned      |
|        12 | 07b56ff8-86a2-453e-963d-cda10d505df2 |      12 | 2020-04-15 00:33:33 | 2020-04-15 00:33:33 | returned      |
|        13 | 07b56ff8-86a2-453e-963d-cda10d505df2 |      13 | 2020-04-15 00:33:33 | 2020-04-15 00:33:33 | returned      |
|        16 | 07b56ff8-86a2-453e-963d-cda10d505df2 |      16 | 2020-04-26 14:35:29 | 2020-05-10 14:35:29 | returned      |
|        22 | 07b56ff8-86a2-453e-963d-cda10d505df2 |       7 | 2020-04-14 19:37:03 | 2020-04-28 19:37:03 | returned      |
|        23 | e89feb79-76c4-4102-9ff2-e45ae2b272eb |      24 | 2020-04-15 21:07:22 | 2020-04-29 21:07:22 | returned      |
|        25 | e89feb79-76c4-4102-9ff2-e45ae2b272eb |      24 | 2020-04-15 21:13:30 | 2020-04-29 21:13:30 | returned      |
|        26 | e89feb79-76c4-4102-9ff2-e45ae2b272eb |      24 | 2020-04-15 21:55:39 | 2020-04-29 21:55:39 | returned      |
|        27 | 09496d03-e9da-4ce2-9772-955e5c7df853 |       7 | 2020-04-15 22:13:12 | 2020-04-29 22:13:12 | returned      |
|        28 | d03ac0ef-7a08-42c0-a6ca-6fa43f844185 |      22 | 2020-04-17 23:38:11 | 2020-05-01 23:38:11 | returned      |
|        30 | 5c226efb-97b3-4cec-9d48-9dee63d077a3 |       3 | 2020-04-29 17:55:51 | 2020-05-13 17:55:51 | returned      |
|        32 | 5c226efb-97b3-4cec-9d48-9dee63d077a3 |      25 | 2020-04-18 00:20:28 | 2020-05-02 00:20:28 | rented        |
|        34 | e89feb79-76c4-4102-9ff2-e45ae2b272eb |       8 | 2020-04-29 18:55:32 | 2020-05-13 18:55:32 | rented        |
|        35 | 5c226efb-97b3-4cec-9d48-9dee63d077a3 |      27 | 2020-04-22 23:31:58 | 2020-05-06 23:31:58 | returned      |
|        39 | 09496d03-e9da-4ce2-9772-955e5c7df853 |      23 | 2020-04-26 11:31:36 | 2020-05-10 11:31:36 | returned      |
|        43 | 09496d03-e9da-4ce2-9772-955e5c7df853 |      23 | 2020-04-26 12:00:49 | 2020-05-10 12:00:49 | returned      |
|        45 | 4b1472d6-a479-4eed-bffa-5d1792e04be7 |       1 | 2020-04-26 14:26:32 | 2020-04-27 14:26:32 | reserved      |
|        46 | 07b56ff8-86a2-453e-963d-cda10d505df2 |       2 | 2020-04-26 14:28:56 | 2020-04-27 14:28:56 | reserved      |
|        47 | 4ed26fcb-c197-448f-af41-985698244698 |      13 | 2020-04-26 14:32:22 | 2020-05-10 14:32:22 | rented        |
|        48 | a8cbe6a9-edca-4575-8aab-a011a73afc43 |      24 | 2020-04-26 14:45:01 | 2020-05-10 14:45:01 | rented        |
|        49 | 5d9062a3-d639-4348-9cae-d68855c945d5 |      23 | 2020-04-29 13:35:20 | 2020-04-30 13:35:20 | reserved      |
|        50 | 9c6fbdc2-c6ce-4f10-847f-7d28ad83d797 |       4 | 2020-04-29 14:50:12 | 2020-04-30 14:50:12 | reserved      |
|        51 | 4b1472d6-a479-4eed-bffa-5d1792e04be7 |      10 | 2020-04-29 14:55:31 | 2020-04-30 14:55:31 | reserved      |
|        52 | d03ac0ef-7a08-42c0-a6ca-6fa43f844185 |      11 | 2020-04-29 17:04:47 | 2020-04-30 17:04:47 | reserved      |
|        53 | 09496d03-e9da-4ce2-9772-955e5c7df853 |       5 | 2020-04-29 17:50:58 | 2020-04-30 17:50:58 | reserved      |
|        54 | 4b1472d6-a479-4eed-bffa-5d1792e04be7 |      19 | 2020-04-29 17:53:49 | 2020-04-30 17:53:49 | reserved      |
|        55 | 09496d03-e9da-4ce2-9772-955e5c7df853 |      14 | 2020-04-29 17:55:10 | 2020-05-13 17:55:10 | rented        |
|        56 | 513ea0e9-dcbc-41a3-bfe2-1ebdf6e9acce |      30 | 2020-04-29 18:08:23 | 2020-04-30 18:08:23 | reserved      |
|        57 | 07b56ff8-86a2-453e-963d-cda10d505df2 |      16 | 2020-04-29 18:51:33 | 2020-04-30 18:51:33 | reserved      |
|        58 | 4b1472d6-a479-4eed-bffa-5d1792e04be7 |      32 | 2020-04-29 18:53:59 | 2020-04-30 18:53:59 | reserved      |
|        59 | 07b56ff8-86a2-453e-963d-cda10d505df2 |      17 | 2020-04-29 18:54:58 | 2020-05-13 18:54:58 | rented        |
+-----------+--------------------------------------+---------+---------------------+---------------------+---------------+
